Lat.,Long.,CombinedBins,Genetic ID_x,Master ID,Skeletal code_x,Skeletal element_x,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]_x",Publication_x,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)_x","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]_x","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]_x","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE_x",Age at Death from physical anthropology_x,Group ID_x,Locality_x,Political Entity_x,Pulldown Strategy_x,Data source_x,No. Libraries_x,1240k coverage (taken from original pulldown where possible)_x,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)_x,SNPs hit on autosomal targets (Computed using easystats on HO snpset)_x,Molecular Sex_x,Family ID and position within family_x,Y haplogroup (manual curation in terminal mutation format)_x,Y haplogroup (manual curation in ISOGG format)_x,mtDNA coverage (merged data)_x,mtDNA haplogroup if >2x or published_x,mtDNA match to consensus if >2x (merged data)_x,Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)_x,Sex ratio [Y/(Y+X) counts] (merged data)_x,"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)_x",Libraries_x,ASSESSMENT_x,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0._x",Unnamed: 35_x,DateBins_x,Updated mtDNA haplogroup_x,P_y_sum,I_y_sum,G_y_sum,R_y_sum,E_y_sum,B_y_sum,H_y_sum,A_y_sum,D_y_sum,K_y_sum,J_y_sum,F_y_sum,N_y_sum,L_y_sum,Q_y_sum,C_y_sum,y_haplos_sum,Genetic ID_y,Skeletal code_y,Skeletal element_y,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]_y",Publication_y,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)_y","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]_y","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]_y","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE_y",Age at Death from physical anthropology_y,Group ID_y,Locality_y,Political Entity_y,Pulldown Strategy_y,Data source_y,No. Libraries_y,1240k coverage (taken from original pulldown where possible)_y,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)_y,SNPs hit on autosomal targets (Computed using easystats on HO snpset)_y,Molecular Sex_y,Family ID and position within family_y,Y haplogroup (manual curation in terminal mutation format)_y,Y haplogroup (manual curation in ISOGG format)_y,mtDNA coverage (merged data)_y,mtDNA haplogroup if >2x or published_y,mtDNA match to consensus if >2x (merged data)_y,Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)_y,Sex ratio [Y/(Y+X) counts] (merged data)_y,"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)_y",Libraries_y,ASSESSMENT_y,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0._y",Unnamed: 35_y,DateBins_y,Updated mtDNA haplogroup_y,P_mt_sum,X_mt_sum,V_mt_sum,I_mt_sum,R_mt_sum,E_mt_sum,K_mt_sum,U_mt_sum,T_mt_sum,r_mt_sum,A_mt_sum,M_mt_sum,J_mt_sum,W_mt_sum,L_mt_sum,C_mt_sum,G_mt_sum,B_mt_sum,H_mt_sum,D_mt_sum,F_mt_sum,N_mt_sum,Z_mt_sum,Y_mt_sum,mt_haplos_sum
-55.01,-69.07,Argentina (0-999BP),Yaghan894_noUDG.SG,Yaghan894,Yaghan894,hair,2015,RaghavanScience2015,Context: Historical period,200,58,1800-1900 CE,,Argentina_BeagleChannel_Yamana_100BP.SG,Beagle Channel. Tierra del Fuego,Argentina,Repulldown on 3.2M snpset,Shotgun,,1.137,1124881,651123,F,n/a (no relatives detected),n/a (female),n/a,,D4h3a ,,,,ds.minus,,PASS,,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yaghan894_noUDG.SG,Yaghan894,hair,2015,RaghavanScience2015,Context: Historical period,200,58,1800-1900 CE,,Argentina_BeagleChannel_Yamana_100BP.SG,Beagle Channel. Tierra del Fuego,Argentina,Repulldown on 3.2M snpset,Shotgun,,1.137,1124881,651123,F,n/a (no relatives detected),n/a (female),n/a,,D4h3a ,,,,ds.minus,,PASS,,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
-54.87,-67.33,Argentina (0-999BP),I12942,I12942,27JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,60,43,1810-1960 calCE (490±25 BP. PSUAMS-6679),,Argentina_BeagleChannel_Yamana_100BP,Beagle Channel. Tierra del Fuego. Acatushún,Argentina,Repulldown on 3.2M snpset,1240K,1,0.287915,284105,156957,F,n/a (no relatives detected),n/a (female),n/a,415,C1b,[0.997.1.000],0.031,0.009,ds.half,S12942.Y1.E1.L1,PASS,damage.ds.half=0.031,0.0,0-999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I12942,27JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,60,43,1810-1960 calCE (490±25 BP. PSUAMS-6679),,Argentina_BeagleChannel_Yamana_100BP,Beagle Channel. Tierra del Fuego. Acatushún,Argentina,Repulldown on 3.2M snpset,1240K,1,0.287915,284105,156957,F,n/a (no relatives detected),n/a (female),n/a,415,C1b,[0.997.1.000],0.031,0.009,ds.half,S12942.Y1.E1.L1,PASS,damage.ds.half=0.031,0.0,0-999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-54.85,-67.57,Argentina (0-999BP),I12943,I12943,22JM,tooth (premolar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,180,118,1550-1960 calCE (570±20 BP. PSUAMS-6680),,Argentina_BeagleChannel_Yamana_100BP,Beagle Channel. Tierra del Fuego. Almanza,Argentina,Repulldown on 3.2M snpset,1240K,1,3.669419,835204,458719,F,n/a (no relatives detected),n/a (female),n/a,238.5,C1b,[0.985.0.997],0.05,0.007,ds.half,S12943.Y1.E1.L1,PASS,,0.0,0-999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I12943,22JM,tooth (premolar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,180,118,1550-1960 calCE (570±20 BP. PSUAMS-6680),,Argentina_BeagleChannel_Yamana_100BP,Beagle Channel. Tierra del Fuego. Almanza,Argentina,Repulldown on 3.2M snpset,1240K,1,3.669419,835204,458719,F,n/a (no relatives detected),n/a (female),n/a,238.5,C1b,[0.985.0.997],0.05,0.007,ds.half,S12943.Y1.E1.L1,PASS,,0.0,0-999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-54.7,-65.35,Argentina (0-999BP),I12357,I12357,42JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,330,98,1470-1810 calCE (530±45 BP. PSUAMS-6675),,Argentina_MitrePeninsula_Haush_400BP,Tierra del Fuego. Mitre Peninusula. Caleta Falsa,Argentina,Repulldown on 3.2M snpset,1240K,1,1.028975,581308,314341,F,n/a (no relatives detected),n/a (female),n/a,1108,D1g+16189,[0.987.0.998],0.051,0.012,ds.half,S12357.Y1.E1.L1,PASS,,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I12357,42JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,330,98,1470-1810 calCE (530±45 BP. PSUAMS-6675),,Argentina_MitrePeninsula_Haush_400BP,Tierra del Fuego. Mitre Peninusula. Caleta Falsa,Argentina,Repulldown on 3.2M snpset,1240K,1,1.028975,581308,314341,F,n/a (no relatives detected),n/a (female),n/a,1108,D1g+16189,[0.987.0.998],0.051,0.012,ds.half,S12357.Y1.E1.L1,PASS,,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-53.84,-71.17,Chile (0-999BP),AM71_noUDG.SG,AM71,AM71,bone,2015,RaghavanScience2015,Context: Archaeological - Period,300,87,1800-1900 CE,,Chile_StraitOfMagellan_Kaweskar_100BP.SG,Strait of Magellan,Chile,Repulldown on 3.2M snpset,Shotgun,,0.109,118821,68504,F,n/a (no relatives detected),n/a (female),n/a,,D4h3a ,,,,ds.minus,,PASS,2500.to.5000 SNPs. ..,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM71_noUDG.SG,AM71,bone,2015,RaghavanScience2015,Context: Archaeological - Period,300,87,1800-1900 CE,,Chile_StraitOfMagellan_Kaweskar_100BP.SG,Strait of Magellan,Chile,Repulldown on 3.2M snpset,Shotgun,,0.109,118821,68504,F,n/a (no relatives detected),n/a (female),n/a,,D4h3a ,,,,ds.minus,,PASS,2500.to.5000 SNPs. ..,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
-53.82,-67.65,Argentina (0-999BP),I12364,I12364,51JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,1470,98,1040-1280 calCE (897±38 BP. AA-69655),,Argentina_NorthTierradelFuego_Selknam_500BP,Tierra del Fuego (North). Margen Sur,Argentina,Repulldown on 3.2M snpset,1240K,1,0.217564,589261,316564,F,n/a (no relatives detected),n/a (female),n/a,1422,D4h3a,[0.992.0.999],0.052,0.009,ds.half,S12364.Y1.E1.L1,PASS,damage.ds.half=0.038,0.0,0-999,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I12364,51JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,1470,98,1040-1280 calCE (897±38 BP. AA-69655),,Argentina_NorthTierradelFuego_Selknam_500BP,Tierra del Fuego (North). Margen Sur,Argentina,Repulldown on 3.2M snpset,1240K,1,0.217564,589261,316564,F,n/a (no relatives detected),n/a (female),n/a,1422,D4h3a,[0.992.0.999],0.052,0.009,ds.half,S12364.Y1.E1.L1,PASS,damage.ds.half=0.038,0.0,0-999,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
-53.66,-67.96,Argentina (0-999BP),I12366,I12366,56JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,100,84,1670-1960 calCE (220±20 BP. PSUAMS-6685),,Argentina_NorthTierradelFuego_Selknam_500BP,Tierra del Fuego (North). Pozo Tierra del Fuego 1,Argentina,Repulldown on 3.2M snpset,1240K,1,0.75698,549359,295132,F,n/a (no relatives detected),n/a (female),n/a,405.7,D1g+16189,[0.964.0.983],0.04,0.009,ds.half,S12366.Y1.E1.L1,PASS,damage.ds.half=0.04,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I12366,56JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,100,84,1670-1960 calCE (220±20 BP. PSUAMS-6685),,Argentina_NorthTierradelFuego_Selknam_500BP,Tierra del Fuego (North). Pozo Tierra del Fuego 1,Argentina,Repulldown on 3.2M snpset,1240K,1,0.75698,549359,295132,F,n/a (no relatives detected),n/a (female),n/a,405.7,D1g+16189,[0.964.0.983],0.04,0.009,ds.half,S12366.Y1.E1.L1,PASS,damage.ds.half=0.04,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-53.58,-68.02,Argentina (5000-5999BP),I12362,I12362,47JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,5820,95,4040-3710 calBCE (5205±58 BP. AA-60935),,Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,Tierra del Fuego (North). La Arcillosa 2,Argentina,Repulldown on 3.2M snpset,1240K,1,3.619225,760685,417855,F,n/a (no relatives detected),n/a (female),n/a,1806,C,[0.995.1.000],0.097,0.011802186,ds.half,S12362.Y1.E1.L1,PASS,,0.0,5000-5999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I12362,47JM,tooth (molar),2020,NakatsukaLuisiNatureCommunications2020,Direct (WARNING NEEDS MARINE CORRECTION): SHCal13 by Thomas Harper,5820,95,4040-3710 calBCE (5205±58 BP. AA-60935),,Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,Tierra del Fuego (North). La Arcillosa 2,Argentina,Repulldown on 3.2M snpset,1240K,1,3.619225,760685,417855,F,n/a (no relatives detected),n/a (female),n/a,1806,C,[0.995.1.000],0.097,0.011802186,ds.half,S12362.Y1.E1.L1,PASS,,0.0,5000-5999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-53.35,-70.966667,Chile (0-999BP),IPK12_noUDG.SG,IPK12,IPK12,tooth,2018,delaFuentePNAS2018,Direct: SHCal20,858,40,1024-1155 calCE (1000±30 BP. Beta-413911),,Chile_WesternArchipelago_Kaweskar_800BP.SG,Strait of Magellan. Punta Santa María,Chile,Repulldown on 3.2M snpset,Shotgun,,6.334562,1143943,591443,F,n/a (no relatives detected),n/a (female),n/a,,C1b,,,,ds.minus,,PASS,,0.0,0-999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPK12_noUDG.SG,IPK12,tooth,2018,delaFuentePNAS2018,Direct: SHCal20,858,40,1024-1155 calCE (1000±30 BP. Beta-413911),,Chile_WesternArchipelago_Kaweskar_800BP.SG,Strait of Magellan. Punta Santa María,Chile,Repulldown on 3.2M snpset,Shotgun,,6.334562,1143943,591443,F,n/a (no relatives detected),n/a (female),n/a,,C1b,,,,ds.minus,,PASS,,0.0,0-999,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-53.26,-70.45,Argentina (0-999BP),MA572_noUDG.SG,MA572,MA572,bone,2015,RaghavanScience2015,Context: Archaeological - Period,100,29,1800-1900 CE,,Argentina_NorthTierradelFiego_Selknam_100BP_lc.SG,Tierra del Fuego. Strait of Magellan,Argentina,Repulldown on 3.2M snpset,Shotgun,,0.009,7369,4099,F,n/a (no relatives detected),n/a (female),n/a,,D4h3a ,,,,ds.minus,,PASS,,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MA572_noUDG.SG,MA572,bone,2015,RaghavanScience2015,Context: Archaeological - Period,100,29,1800-1900 CE,,Argentina_NorthTierradelFiego_Selknam_100BP_lc.SG,Tierra del Fuego. Strait of Magellan,Argentina,Repulldown on 3.2M snpset,Shotgun,,0.009,7369,4099,F,n/a (no relatives detected),n/a (female),n/a,,D4h3a ,,,,ds.minus,,PASS,,0.0,0-999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
