Locality,DateBins,Lat.,Long.,D_sum,N_sum,B_sum,R_sum,x_sum,F_sum,Q_sum,K_sum,E_sum,L_sum,n_sum,A_sum,G_sum,I_sum,J_sum,C_sum,O_sum,H_sum,P_sum,T_sum,y_haplos_sum
'Ain Ghazal,4001-4500,31.988,35.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
'Ain Ghazal,8501-9000,31.988,35.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Ain Ghazal,9001-9500,31.988,35.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Ain Ghazal,9501-10000,31.988,35.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Ain Ghazal,10001-10500,31.988,35.976,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ANAS (Azienda Nazionale Autonoma delle Strada),1501-2000,41.8336869,12.468561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaco. Hopetown,1001-1500,26.53,-76.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaco. Moore's Island. Prophet's Cave,0-1000,26.31,-77.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abony. Turjános-dülö,5501-6000,47.189141,20.004795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abruzzo. Grotta de Continenza,4501-5000,41.96,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abruzzo. Grotta de Continenza,7501-8000,41.96,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abruzzo. Grotta de Continenza,10501-11000,41.96,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesch,4501-5000,47.465413,7.601691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afro-Caribbeans,0-1000,13.170000000000002,-59.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agarak,0-1000,38.865,46.19899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aghitu,1501-2000,39.549,45.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agia Kyriaki. Salamis,3001-3500,37.966284,23.495244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajvide,4501-5000,57.281086,18.169117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
