+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------+
|      | CombinedBins                                                                                                                                                                                                                                                                                                                                                                                                                          |       Lat. |         Long. |     I_sum |     F_sum |    E_sum |    A_sum |    Q_sum |   D_sum |    H_sum |    R_sum |   x_sum |     N_sum |     G_sum |     T_sum |     B_sum |   K_sum |     L_sum |    n_sum |   O_sum |     C_sum |     J_sum |    P_sum |   y_haplos_sum |
|------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------|
|    0 | 'Ain Ghazal ( 10001-10500 )                                                                                                                                                                                                                                                                                                                                                                                                           |  31.988    |   35.976      |   0       |   0       | 100      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|    1 | 'Ain Ghazal ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                                             |  31.988    |   35.976      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       | 100       |   0      |              2 |
|    2 | 'Ain Ghazal ( 8501-9000 )                                                                                                                                                                                                                                                                                                                                                                                                             |  31.988    |   35.976      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    3 | 'Ain Ghazal ( 9001-9500 )                                                                                                                                                                                                                                                                                                                                                                                                             |  31.988    |   35.976      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    4 | 'Ain Ghazal ( 9501-10000 )                                                                                                                                                                                                                                                                                                                                                                                                            |  31.988    |   35.976      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    5 | ANAS (Azienda Nazionale Autonoma delle Strada) ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                                          |  41.8337   |   12.4686     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    6 | Abaco. Hopetown ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                                         |  26.53     |  -76.96       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    7 | Abaco. Moore's Island. Prophet's Cave ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                                                      |  26.31     |  -77.55       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    8 | Abony. Turjános-dülö ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                                                    |  47.1891   |   20.0048     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|    9 | Abruzzo. Grotta de Continenza ( 10501-11000 )                                                                                                                                                                                                                                                                                                                                                                                         |  41.96     |   13.54       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   10 | Abruzzo. Grotta de Continenza ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                           |  41.96     |   13.54       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   11 | Abruzzo. Grotta de Continenza ( 7501-8000 )                                                                                                                                                                                                                                                                                                                                                                                           |  41.96     |   13.54       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   12 | Aesch ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                                                   |  47.4654   |    7.60169    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   13 | Afontova Gora ( nan )                                                                                                                                                                                                                                                                                                                                                                                                                 |  56.05     |   92.87       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   14 | Afro-Caribbeans ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                                                                            |  13.17     |  -59.5525     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   15 | Agarak ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                                                                                     |  38.865    |   46.199      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   16 | Aghitu ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                                                                                  |  39.549    |   45.078      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
